aH-fold_1,aH-fold_2,aH-fold_3,aH-fold_4,aH-fold_5,sH-fold_1,sH-fold_2,sH-fold_3,sH-fold_4,sH-fold_5,aC-fold_1,aC-fold_2,aC-fold_3,aC-fold_4,aC-fold_5,sC-fold_1,sC-fold_2,sC-fold_3,sC-fold_4,sC-fold_5,aN-fold_1,aN-fold_2,aN-fold_3,aN-fold_4,aN-fold_5,sN-fold_1,sN-fold_2,sN-fold_3,sN-fold_4,sN-fold_5
0.35008973,0.3376965,0.33667713,0.3461137,0.33558705,1.5586612,1.5435607,1.5408031,1.5861988,1.5205412,2.4325347,2.500705,2.3898747,2.544391,2.5095096,0.5904316,0.5883355,0.5952548,0.5710207,0.6099881,8.379509,8.420343,8.330333,8.420955,8.320701,4.648053,4.8892975,4.6844482,4.7628818,4.7545667
0.32479745,0.3117349,0.31012648,0.32663038,0.3082694,1.5522355,1.5329703,1.5329331,1.5800455,1.5115501,2.4659772,2.5290358,2.4044917,2.526292,2.525112,0.5741853,0.57347596,0.57489175,0.548808,0.58859116,8.305041,8.343078,8.260048,8.340051,8.25248,4.634531,4.878247,4.6814804,4.750401,4.742683
0.29966223,0.2889017,0.28696567,0.29572585,0.28405645,1.5834998,1.5548718,1.5566161,1.6052175,1.5437857,2.519547,2.5678134,2.4236307,2.5185354,2.5621622,0.5568107,0.55732477,0.55052435,0.5243492,0.5664597,8.226331,8.258314,8.178031,8.26019,8.178587,4.5499086,4.7859974,4.6086483,4.6601477,4.654613
0.2730974,0.26258868,0.2573679,0.2649089,0.2555426,1.5795914,1.5466871,1.5533301,1.5978203,1.5442607,2.5682812,2.6128683,2.4490385,2.5451114,2.6198804,0.5499935,0.54887444,0.5374601,0.5142726,0.5583185,8.172301,8.2025,8.119567,8.203385,8.123118,4.5193996,4.752562,4.580514,4.626318,4.621727
0.23696125,0.22734983,0.21951437,0.2334775,0.22634296,1.5577476,1.5244226,1.5365267,1.5724208,1.5281534,2.6103885,2.6764638,2.4863114,2.5862982,2.6917293,0.5490585,0.5410314,0.5263495,0.50815594,0.55688393,8.127406,8.155034,8.0749235,8.158695,8.07862,4.467992,4.68909,4.53154,4.5689683,4.5666213
0.20675695,0.19484676,0.18450195,0.20959023,0.1958748,1.5424448,1.5119021,1.5218668,1.5399396,1.5132349,2.6880245,2.7837749,2.5678217,2.7007935,2.8293836,0.5618458,0.5431277,0.5351674,0.5181958,0.5740621,8.052959,8.083878,8.0073395,8.088057,8.003153,4.383931,4.581074,4.453289,4.4759035,4.4802146
0.18701911,0.17836227,0.16556102,0.19218788,0.17854701,1.4870983,1.470291,1.4748279,1.4463693,1.4711218,2.9022655,2.9505117,2.7257638,2.8469281,3.038365,0.60922813,0.5773499,0.5860832,0.5683549,0.632063,7.993406,8.031541,7.947282,8.027507,7.928191,4.3218813,4.4782586,4.377202,4.4062905,4.4112024
0.17328835,0.16343738,0.14804912,0.17933077,0.17072581,1.4061464,1.4000027,1.3937445,1.3232715,1.3906398,2.9666424,2.9807057,2.8269536,2.880736,3.0333624,0.658862,0.63778996,0.64492464,0.63510364,0.6870728,7.9566746,8.005648,7.919784,7.988254,7.8864183,4.278478,4.411268,4.317603,4.3551464,4.3600883
0.1658715,0.15666403,0.1394369,0.17348751,0.1615641,1.3279213,1.3272374,1.3117493,1.2241609,1.3038341,2.9488585,2.9387636,2.8510785,2.8893788,3.0051334,0.70682955,0.7149081,0.70986754,0.7173359,0.739195,7.9032574,7.961804,7.877932,7.9375916,7.8322062,4.210976,4.3213253,4.2343884,4.2763705,4.277867
0.16171038,0.15387775,0.13469273,0.17385456,0.15652208,1.2548804,1.2569535,1.237404,1.1524038,1.2170022,2.9233646,2.8350973,2.811479,2.8461087,2.9474623,0.74602425,0.76789045,0.74933475,0.77114826,0.77334327,7.8506217,7.9109874,7.8359194,7.8859344,7.7834144,4.1367445,4.226163,4.1418447,4.1890254,4.1832333
0.16022515,0.15193136,0.13030887,0.17089334,0.15700142,1.2162403,1.2100987,1.1889805,1.1343827,1.1603019,2.8468227,2.7033992,2.6976273,2.785945,2.8407454,0.7733867,0.7967399,0.77502465,0.8044498,0.7993575,7.850106,7.907764,7.841108,7.8850904,7.7882195,4.0563755,4.1246037,4.040408,4.0946765,4.0768356
0.16263735,0.15379865,0.13049823,0.17155337,0.16012098,1.2104105,1.205656,1.1874695,1.1462697,1.1575942,2.7722816,2.6302443,2.6179028,2.7520397,2.7644982,0.78465164,0.80730593,0.78495246,0.818515,0.8093121,7.825761,7.8773975,7.821159,7.864467,7.7689686,3.9640422,4.012721,3.9382122,3.9907336,3.9676847
